Sample,N,I,S,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.1,9928,993,8474,5726,2259,408,70,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9928,1241,8052,4900,2472,566,101,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9928,1489,7639,4275,2471,722,142,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9928,2482,5829,2389,2100,968,292,70,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9953,100,9848,9435,405,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9953,249,9686,8742,898,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9953,498,9393,7694,1531,166,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9953,746,9113,6802,1961,319,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9953,995,8832,5967,2319,473,68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9953,1244,8558,5240,2572,631,102,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9953,1493,8258,4599,2691,805,141,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9953,2488,7083,2791,2605,1208,371,90,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9953,100,9829,9430,390,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9953,249,9642,8676,920,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9953,498,9305,7601,1547,145,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9953,746,8961,6618,2008,305,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9953,995,8638,5818,2280,473,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9953,1244,8299,5069,2502,612,105,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9953,1493,7968,4454,2584,764,146,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9953,2488,6511,2493,2432,1129,373,69,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
